Project,Summary,Description,State (state),Priority (enum),Type (enum),Epic (enum),Module (enum),Repository (enum multi),Fase (enum)
CG,"EPIC-01: Estabilizacao e Qualidade da Base","Objetivo: estabilizar a base atual dos tres repositorios, corrigir inconsistencias estruturais, padronizar ACL e garantir que o build funciona sem erros bloqueantes.

Justificativa: a base apresenta erros de tipagem, placeholders em formularios, stores com services inconsistentes e subjects divergentes entre frontend e backend. Sem essa estabilizacao, toda feature nova carregara debito tecnico.

Entregaveis:
- Builds de backend e frontend sem erros bloqueantes
- ACL coerente entre painel e API
- Modulos gerados operacionais (pedido, transacoes, avaliacao)
- Suite minima de testes de negocio

Criterios de saida:
- pnpm build no frontend sem erro
- php artisan test no backend sem falha critica
- Navegacao completa no painel sem tela quebrada","Open","Critica","Epic","EPIC-01: Estabilizacao","Fundacao","cervagelada_frontend, cervagelada_back_api","Fase 0"
CG,"[BE] Corrigir erros de tipagem em controllers e configuracoes","Corrigir erros reportados pelo IDE/PHPStan em PedidoController, LojaController e demais controllers com tipos incorretos ou imports faltando.

Tarefas:
- Executar php artisan ide-helper:generate
- Revisar retornos de metodos que retornam mixed
- Corrigir imports de classes e type hints nos requests
- Validar que artisan route:list executa sem erro

Criterios de aceite:
- Nenhum erro fatal ao carregar qualquer rota
- IDE helper atualizado","Open","Critica","Task","EPIC-01: Estabilizacao","Backend","cervagelada_back_api","Fase 0"
CG,"[FE] Corrigir placeholders e inconsistencias no modulo de Pedido","O formulario PedidoForm.vue possui campos com item-title placeholder '[Informe Nome do Campo]'. Campos de itens do pedido nao estao integrados ao formulario.

Tarefas:
- Substituir placeholders por labels corretos
- Integrar componente de itens do pedido no formulario
- Vincular loja_id ao usuario logado quando seller
- Testar criacao e edicao de pedido

Criterios de aceite:
- Formulario sem nenhum placeholder generico
- CRUD de pedido funcional no painel","Open","Critica","Task","EPIC-01: Estabilizacao","Backoffice","cervagelada_frontend","Fase 0"
CG,"[FE] Corrigir inconsistencia do store de Transacoes Financeiras","O useTransacoesFinanceirasStore referencia TransacoesFinanceiraService (sem 's'). Revisar naming e garantir que o CRUD funciona.

Tarefas:
- Padronizar nome do service (TransacoesFinanceirasService)
- Testar listagem, criacao e edicao
- Verificar vinculo com loja_id e pedido_id

Criterios de aceite:
- Store e service com nomes coerentes
- CRUD de transacoes operacional","Open","Alta","Task","EPIC-01: Estabilizacao","Backoffice","cervagelada_frontend","Fase 0"
CG,"[BE+FE] Padronizar subjects e actions do ACL entre painel e API","Subjects usados no frontend (abilityConfig.ts) e no backend (permission_list.php) apresentam divergencias de naming (ex: item-pedido vs itempedido).

Tarefas:
- Mapear subjects do frontend (abilityConfig.ts)
- Mapear subjects do backend (permission_list.php)
- Criar tabela de correspondencia
- Padronizar em ambos os lados
- Testar que menus aparecem para roles com permissao

Criterios de aceite:
- Tabela subjects x actions e unica
- Nenhum menu desaparece por nomenclatura errada
- Seeders geram permissoes sem duplicidade semantica","Open","Critica","Task","EPIC-01: Estabilizacao","ACL","cervagelada_frontend, cervagelada_back_api","Fase 0"
CG,"[FE] Ativar modulos comentados na navegacao (pedido, avaliacao, transacoes)","Os menus de Pedido, Avaliacao e Transacoes Financeiras estao comentados no navigation/vertical/index.ts.

Tarefas:
- Descomentar itens de navegacao
- Revisar subjects e permissions para cada modulo
- Verificar que as paginas carregam corretamente
- Testar acesso por roles diferentes

Criterios de aceite:
- Todos os modulos aparecem no menu para roles autorizados
- Navegacao completa sem erros","Open","Alta","Task","EPIC-01: Estabilizacao","Backoffice","cervagelada_frontend","Fase 0"
CG,"[BE] Criar seeders de dados para desenvolvimento","Nenhum seeder popula dados de teste. Sem dados de teste, e impossivel validar o sistema.

Tarefas:
- Criar seeder de roles e permissions padronizados
- Criar seeder de usuario admin, seller e consumidor
- Criar seeder de lojas (distribuidor e cervejaria) com horarios
- Criar seeder de produtos e loja_produtos
- Criar seeder de pedidos com itens
- Criar seeder de promocoes com produtos vinculados
- Criar seeder de noticias

Criterios de aceite:
- php artisan db:seed popula base funcional
- Dashboard carrega com dados reais
- Fluxo de pedido pode ser testado de ponta a ponta","Open","Alta","Task","EPIC-01: Estabilizacao","Backend","cervagelada_back_api","Fase 0"
CG,"[BE] Criar suite minima de testes de negocio","Cobrir os fluxos de maior risco com testes automatizados: pedido, estoque e cancelamento.

Tarefas:
- Testar criacao de pedido com baixa de estoque
- Testar cancelamento com reposicao de estoque
- Testar registro de loja (register-store)
- Testar filtros do dashboard por loja
- Testar listagem de produtos por loja

Criterios de aceite:
- Casos criticos possuem testes automatizados
- php artisan test passa sem falha","Open","Alta","Task","EPIC-01: Estabilizacao","Qualidade","cervagelada_back_api","Fase 0"
CG,"EPIC-02: Arquitetura do App Consumidor","Objetivo: formalizar a arquitetura do produto para definir claramente o papel de cada repositorio e como o app consumidor sera construido.

Decisoes necessarias:
- O repositorio Nuxt (cervagelada) sera evoluido para app consumidor ou permanecera como landing page?
- O app consumidor sera construido dentro do Nuxt com rotas ou tera repositorio separado?
- Quais endpoints serao publicos (sem auth) vs protegidos?
- Como o frontend consumidor se comunicara com a API?
- Como sera a sessao do consumidor (JWT, session, guest)?

Entregaveis:
- ADR (Architecture Decision Record) aprovado
- Diagrama de responsabilidades por repositorio
- Definicao dos contratos da API publica

Criterios de saida:
- Equipe alinhada sobre onde cada feature mora
- Nenhum retrabalho de arquitetura nas fases seguintes","Open","Critica","Epic","EPIC-02: Arquitetura","Fundacao","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 0"
CG,"[ARCH] Definir responsabilidade de cada repositorio","Documentar qual repo hospeda qual funcionalidade: site institucional, app consumidor, painel admin, API publica, API interna.

Tarefas:
- Mapear funcionalidades atuais por repo
- Decidir se Nuxt sera landing + app ou apenas landing
- Documentar em ADR

Criterios de aceite:
- ADR escrito e aprovado pela equipe","Open","Critica","Task","EPIC-02: Arquitetura","Fundacao","cervagelada, cervagelada_frontend, cervagelada_back_api","Fase 0"
